1.165	1.382
1.168	1.374
1.171	1.366
1.174	1.358
1.178	1.349
1.181	1.341
1.184	1.333
1.187	1.324
1.190	1.316
1.194	1.307
1.197	1.299
1.200	1.290
1.200	1.281
1.197	1.273
1.194	1.264
1.190	1.255
1.187	1.246
1.184	1.237
1.181	1.228
1.178	1.219
1.174	1.210
1.171	1.201
1.168	1.192
1.165	1.183
1.162	1.175
1.158	1.166
1.155	1.157
1.152	1.148
1.149	1.139
1.145	1.130
1.142	1.121
1.139	1.113
1.136	1.104
1.133	1.095
1.129	1.087
1.126	1.078
1.123	1.070
1.120	1.062
1.117	1.054
1.113	1.046
1.110	1.038
1.107	1.030
1.104	1.022
1.101	1.015
1.097	1.008
1.094	1.001
1.091	0.994
1.088	0.987
1.085	0.981
1.081	0.974
1.078	0.968
1.075	0.963
1.072	0.957
1.069	0.952
1.065	0.947
1.062	0.942
1.059	0.937
1.056	0.933
1.053	0.929
1.049	0.925
1.046	0.922
1.043	0.918
1.040	0.915
1.036	0.912
1.033	0.909
1.030	0.907
1.027	0.904
1.024	0.902
1.020	0.900
1.017	0.898
1.014	0.897
1.011	0.895
1.008	0.894
1.004	0.892
1.001	0.891
0.998	0.890
0.995	0.888
0.992	0.887
0.988	0.886
0.985	0.885
0.982	0.883
0.979	0.882
0.976	0.881
0.972	0.880
0.969	0.878
0.966	0.877
0.963	0.875
0.960	0.874
0.956	0.872
0.953	0.870
0.950	0.868
0.947	0.867
0.943	0.865
0.940	0.862
0.937	0.860
0.934	0.858
0.931	0.856
0.927	0.853
0.924	0.851
0.921	0.848
0.918	0.845
0.915	0.843
0.911	0.840
0.908	0.837
0.905	0.834
0.902	0.831
0.899	0.828
0.895	0.825
0.892	0.822
0.889	0.818
0.886	0.815
0.883	0.812
0.879	0.808
0.876	0.805
0.873	0.801
0.870	0.798
0.867	0.794
0.863	0.791
0.860	0.787
0.857	0.784
0.854	0.780
0.851	0.776
0.847	0.772
0.844	0.769
0.841	0.765
0.838	0.761
0.834	0.757
